
[00/00/0000 00:00:05] Ti:22.2 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:26:24] Ti:22.4 | Te:23.0 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:26:33] Ti:22.4 | Te:23.0 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:26:39] Ti:22.3 | Te:23.0 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:26:45] Ti:22.4 | Te:23.0 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:26:51] Ti:22.3 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:27:31] Ti:22.3 | Te:23.1 | H:71.9% | pH:11.55 L:0
[07/04/2026 00:27:37] Ti:22.4 | Te:23.0 | H:71.8% | pH:11.55 L:0
[07/04/2026 00:27:43] Ti:22.4 | Te:23.0 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:27:48] Ti:22.4 | Te:23.0 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:27:53] Ti:22.4 | Te:23.0 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:27:59] Ti:22.4 | Te:23.0 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:28:04] Ti:22.4 | Te:23.0 | H:71.8% | pH:11.55 L:0
[07/04/2026 00:28:09] Ti:22.4 | Te:23.1 | H:71.8% | pH:11.55 L:0
[07/04/2026 00:28:14] Ti:22.4 | Te:23.1 | H:71.9% | pH:11.55 L:0
[07/04/2026 00:28:19] Ti:22.4 | Te:23.0 | H:71.9% | pH:11.55 L:0
[07/04/2026 00:28:24] Ti:22.4 | Te:23.1 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:28:33] Ti:22.4 | Te:23.0 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:28:39] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:28:45] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:28:51] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:28:57] Ti:22.4 | Te:23.1 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:29:02] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:29:07] Ti:22.4 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:29:12] Ti:22.4 | Te:23.1 | H:72.7% | pH:11.55 L:0
[07/04/2026 00:29:17] Ti:22.4 | Te:23.1 | H:72.7% | pH:11.55 L:0
[07/04/2026 00:29:22] Ti:22.4 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:29:27] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:29:37] Ti:22.4 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:29:43] Ti:22.4 | Te:23.1 | H:72.5% | pH:11.55 L:0
[07/04/2026 00:29:49] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:29:55] Ti:22.4 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:30:01] Ti:22.4 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:30:06] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:30:11] Ti:22.4 | Te:23.1 | H:72.5% | pH:11.55 L:0
[07/04/2026 00:30:16] Ti:22.4 | Te:23.1 | H:72.4% | pH:11.55 L:0
[07/04/2026 00:30:21] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:30:26] Ti:22.4 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:30:31] Ti:22.4 | Te:23.1 | H:72.7% | pH:11.55 L:0
[07/04/2026 00:30:41] Ti:22.4 | Te:23.1 | H:72.5% | pH:11.55 L:0
[07/04/2026 00:30:47] Ti:22.4 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:30:53] Ti:22.4 | Te:23.1 | H:72.8% | pH:11.55 L:0
[07/04/2026 00:30:59] Ti:22.4 | Te:23.1 | H:72.9% | pH:11.55 L:0
[07/04/2026 00:31:05] Ti:22.4 | Te:23.1 | H:72.6% | pH:11.55 L:0
[07/04/2026 00:31:11] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:31:16] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:31:21] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:31:26] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:31:31] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:31:36] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:31:45] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:31:51] Ti:22.4 | Te:23.1 | H:72.3% | pH:11.55 L:0
[07/04/2026 00:31:57] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:03] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:09] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:15] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:20] Ti:22.4 | Te:23.1 | H:72.1% | pH:11.55 L:0
[07/04/2026 00:32:25] Ti:22.4 | Te:23.1 | H:72.2% | pH:11.55 L:0
[07/04/2026 00:32:30] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:35] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[07/04/2026 00:32:40] Ti:22.4 | Te:23.1 | H:72.0% | pH:11.55 L:0
[00/00/0000 00:00:05] Ti:22.5 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:46:57] Ti:22.5 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:47:03] Ti:22.5 | Te:23.6 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:47:09] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:47:15] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:47:21] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:47:27] Ti:22.5 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:47:32] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:47:37] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:47:42] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:47:47] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:47:52] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:48:01] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:07] Ti:22.5 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:13] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:19] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:25] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:48:31] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:48:36] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:48:41] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:46] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:48:51] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:48:56] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:01] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:49:11] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:17] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:49:23] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:29] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:35] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:49:40] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:45] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:50] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:49:55] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:00] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:05] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:15] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:21] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:27] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:33] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:39] Ti:22.6 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:44] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:49] Ti:22.6 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:50:54] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:50:59] Ti:22.6 | Te:23.6 | H:69.8% | pH:11.55 L:0
[07/04/2026 00:51:04] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:51:09] Ti:22.6 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:51:19] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:51:25] Ti:22.6 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:51:31] Ti:22.6 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:51:37] Ti:22.6 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:51:43] Ti:22.6 | Te:23.6 | H:69.9% | pH:11.55 L:0
[07/04/2026 00:51:48] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:51:53] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:51:58] Ti:22.6 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:03] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:52:08] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:13] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:23] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:29] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:35] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:52:41] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:52:47] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:52:53] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:52:58] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:03] Ti:22.6 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:53:08] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:13] Ti:22.6 | Te:23.6 | H:70.0% | pH:11.55 L:0
[07/04/2026 00:53:18] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:27] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:33] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:39] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:45] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:53:51] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:53:57] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:02] Ti:22.6 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:07] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:54:12] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:17] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:22] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:54:31] Ti:22.6 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:54:37] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:43] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:54:49] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:54:55] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:01] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:06] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:11] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:16] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:55:21] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:26] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:35] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:41] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:55:47] Ti:22.7 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:55:53] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:55:59] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:56:05] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:10] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:56:15] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:20] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:25] Ti:22.6 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:30] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:35] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:56:45] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:56:51] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:56:57] Ti:22.7 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:57:03] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:09] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:57:14] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:19] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:24] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:57:29] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:34] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:39] Ti:22.6 | Te:23.5 | H:70.3% | pH:11.55 L:0
[07/04/2026 00:57:49] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:57:55] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:01] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:07] Ti:22.6 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:58:13] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:18] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:23] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:28] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:33] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:38] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:43] Ti:22.6 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:53] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:58:59] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:05] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:11] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:17] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:22] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:27] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:32] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:37] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:42] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 00:59:47] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 00:59:57] Ti:22.8 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 01:00:03] Ti:22.8 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:00:09] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:15] Ti:22.8 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:21] Ti:22.8 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:27] Ti:22.8 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:32] Ti:22.7 | Te:23.6 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:37] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:42] Ti:22.7 | Te:23.5 | H:70.2% | pH:11.55 L:0
[07/04/2026 01:00:47] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:00:52] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:01] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:07] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:13] Ti:22.7 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 01:01:19] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:25] Ti:22.7 | Te:23.6 | H:70.2% | pH:11.55 L:0
[07/04/2026 01:01:31] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:36] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:41] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:46] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:01:51] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:01:56] Ti:22.8 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:02:05] Ti:22.8 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:02:11] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:02:17] Ti:22.7 | Te:23.5 | H:70.1% | pH:11.55 L:0
[07/04/2026 01:02:23] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:02:29] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:02:35] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:02:40] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:02:45] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:02:50] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:02:55] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:00] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:09] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:15] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:21] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:27] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:33] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:03:39] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:44] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:49] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:54] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:03:59] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:04:04] Ti:22.7 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:04:09] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:19] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:25] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:31] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:37] Ti:22.8 | Te:23.5 | H:70.0% | pH:11.55 L:0
[07/04/2026 01:04:43] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:48] Ti:22.8 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:53] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:04:58] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:03] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:08] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:13] Ti:22.8 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:23] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:29] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:35] Ti:22.7 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:41] Ti:22.8 | Te:23.5 | H:69.9% | pH:11.55 L:0
[07/04/2026 01:05:47] Ti:22.8 | Te:23.5 | H:69.9% | pH:11.55 L:0
